Feature_ID,BL21_12hr-BL21_3hr_logFC,BL21_12hr-control_12hr_logFC,BL21_3hr-control_3hr_logFC,CC_12hr-CC_3hr_logFC,CC_12hr-control_12hr_logFC,CC_3hr-control_3hr_logFC,control_12hr-control_3hr_logFC,LPS_12hr-control_12hr_logFC,LPS_12hr-LPS_3hr_logFC,LPS_3hr-control_3hr_logFC
ENSG00000004975,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000005007,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr
ENSG00000005020,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr,overexpr,underexpr,underexpr,overexpr
ENSG00000005022,underexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000005059,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000005075,underexpr,underexpr,overexpr,underexpr,underexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000005100,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000005156,overexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,overexpr,overexpr,underexpr
ENSG00000005175,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr,overexpr
ENSG00000005189,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,underexpr,underexpr,overexpr
ENSG00000005194,underexpr,overexpr,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000005206,overexpr,overexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr,overexpr
ENSG00000005238,overexpr,underexpr,underexpr,overexpr,overexpr,overexpr,overexpr,underexpr,overexpr,underexpr
ENSG00000005243,underexpr,underexpr,underexpr,underexpr,underexpr,overexpr,overexpr,underexpr,overexpr,underexpr
